나자, 77, 180
차다, 84, 169
마바, 75, 181
차카, 44, 196
아나, 65, 163
가차, 63, 197
파마, 86, 197
자타, 55, 180
가가, 58, 196
차카, 40, 194
나사, 87, 163
라하, 91, 174
하마, 80, 186
가타, 66, 150
가차, 56, 140
가자, 90, 154
카라, 81, 192
바라, 45, 145
카파, 82, 196
사가, 42, 161
바라, 98, 185
파라, 89, 188
마사, 47, 197
마가, 94, 154
차차, 44, 177
나라, 68, 156
나바, 90, 174
자하, 93, 186
파차, 79, 183
하다, 64, 158
다마, 97, 189
파타, 96, 191
자나, 82, 159
바라, 63, 172
자하, 76, 192
마아, 95, 144
자타, 95, 150
타라, 82, 198
마라, 71, 179
사다, 80, 171
라가, 48, 171
차마, 80, 197
자파, 42, 189
카하, 68, 185
마하, 59, 192
타차, 51, 165
파마, 69, 182
라사, 55, 145
가자, 67, 144
하파, 60, 144
가파, 78, 145
자바, 96, 194
바차, 59, 157
차가, 92, 163
카사, 96, 164
다타, 55, 156
카자, 58, 163
마다, 55, 152
바하, 53, 144
바사, 73, 160
카파, 53, 177
바바, 72, 176
가나, 82, 188
다타, 42, 187
카아, 89, 160
바나, 89, 191
다나, 87, 184
바다, 47, 154
하마, 66, 148
나파, 45, 194
타카, 82, 183
아자, 65, 190
사라, 64, 167
사사, 75, 178
자자, 52, 191
파파, 41, 170
아다, 70, 181
카마, 96, 153
아하, 45, 152
카나, 40, 195
아하, 64, 193
바사, 63, 169
다바, 43, 194
차타, 60, 154
라사, 94, 159
다라, 94, 196
가카, 53, 172
다파, 99, 191
라나, 93, 163
타타, 78, 156
바마, 80, 171
하아, 63, 140
파나, 66, 185
사다, 68, 155
하아, 83, 176
아아, 53, 166
라하, 59, 165
사하, 89, 178
아가, 77, 193
라바, 87, 174
나하, 47, 158
나카, 53, 144
라가, 89, 169
차마, 66, 183
차카, 51, 169
바사, 41, 152
하자, 55, 169
사타, 88, 181
다가, 97, 175
파마, 40, 163
자가, 57, 191
차자, 58, 146
가마, 48, 164
카바, 74, 189
나라, 93, 161
마나, 44, 185
다다, 80, 194
카아, 41, 182
바라, 80, 173
자파, 68, 174
하가, 64, 168
타자, 52, 161
다카, 47, 150
사파, 58, 193
타하, 42, 187
아바, 65, 186
사가, 99, 162
하바, 99, 167
바하, 78, 170
다카, 80, 159
가아, 92, 190
바카, 77, 180
파가, 79, 159
라자, 79, 181
나나, 62, 191
사자, 66, 154
타파, 52, 173
자아, 42, 180
자마, 76, 142
나가, 68, 198
다타, 85, 191
차차, 69, 176
아바, 71, 174
사하, 84, 144
마아, 48, 158
파바, 52, 167
나파, 84, 173
마하, 95, 151
다다, 42, 196
바타, 48, 147
하바, 82, 190
바카, 52, 176
타가, 52, 166
카사, 73, 150
나카, 54, 179
라타, 93, 158
차카, 60, 151
아바, 67, 153
하라, 66, 168
아바, 52, 197
라자, 73, 146
라마, 79, 166
타가, 90, 178
하사, 96, 179
자파, 95, 190
차아, 83, 186
가자, 90, 147
아바, 57, 178
다파, 49, 184
나라, 62, 197
나아, 81, 190
카자, 72, 151
차라, 49, 149
가바, 69, 149
차라, 81, 149
라바, 63, 176
차파, 41, 148
나라, 48, 193
사하, 49, 174
다다, 41, 163
파자, 42, 179
타하, 40, 198
나타, 54, 167
카바, 97, 195
타바, 93, 190
다자, 87, 189
나파, 73, 176
타자, 70, 163
자나, 73, 162
타사, 95, 155
카마, 65, 153
타아, 66, 163
라다, 94, 190
타차, 85, 170
타자, 57, 169
차자, 54, 164
차바, 78, 170
가하, 95, 183
마카, 78, 156
나차, 46, 184
다하, 49, 157
바마, 96, 150
아아, 42, 172
라가, 50, 168
카나, 44, 172
하아, 90, 145
아사, 97, 190
차마, 47, 146
나차, 96, 156
하바, 58, 190
카라, 73, 148
바사, 94, 171
차자, 58, 155
파파, 59, 169
라자, 84, 146
파아, 58, 145
하아, 56, 159
하가, 82, 182
아파, 80, 152
하차, 93, 150
타아, 69, 196
자가, 51, 185
라하, 46, 150
마자, 62, 188
가라, 59, 140
하마, 58, 173
카하, 97, 192
자나, 79, 171
타사, 46, 145
마가, 72, 184
차하, 58, 155
사아, 52, 172
다자, 96, 182
라카, 72, 154
나자, 46, 160
라자, 77, 180
파나, 44, 191
파자, 79, 196
가라, 78, 190
파다, 68, 159
하하, 53, 143
하가, 63, 144
아마, 48, 181
타바, 84, 166
카자, 55, 156
타마, 48, 169
다자, 66, 146
사마, 97, 148
마다, 43, 151
하차, 53, 162
마타, 49, 142
바카, 82, 185
사사, 73, 189
차파, 73, 167
자카, 40, 169
타자, 45, 171
자다, 94, 196
차하, 93, 178
사라, 88, 154
라하, 62, 184
사마, 61, 161
타아, 47, 156
마아, 43, 182
마라, 61, 199
아카, 99, 143
바아, 77, 152
하나, 53, 177
마나, 91, 161
카바, 86, 165
아아, 60, 142
마타, 71, 166
나차, 83, 181
마나, 98, 148
가파, 90, 199
차차, 75, 157
아차, 86, 193
자나, 79, 157
라다, 63, 176
라하, 85, 190
차사, 50, 194
나다, 52, 156
파아, 85, 161
파다, 65, 172
파타, 42, 161
파차, 58, 142
사바, 77, 186
다나, 53, 155
타카, 91, 149
타파, 71, 191
자가, 53, 148
아가, 96, 199
파자, 85, 194
아가, 77, 170
가파, 98, 197
아자, 64, 145
자사, 95, 142
바카, 90, 156
다다, 89, 195
바나, 94, 176
자나, 54, 198
하아, 63, 168
나다, 40, 157
아가, 84, 152
바라, 92, 196
사타, 71, 193
하가, 97, 198
차바, 87, 165
차마, 84, 194
마하, 45, 153
차나, 42, 172
아바, 50, 158
가타, 92, 163
하가, 68, 194
파타, 79, 162
타마, 91, 143
마가, 53, 140
하다, 91, 167
하아, 47, 154
나자, 46, 178
아가, 98, 155
사하, 90, 147
카하, 51, 146
바가, 59, 180
타나, 43, 195
마나, 88, 143
다라, 51, 168
차카, 43, 199
가아, 67, 173
카라, 76, 164
나타, 83, 162
가카, 69, 163
마나, 87, 143
바차, 42, 155
차라, 57, 178
바다, 71, 194
라하, 56, 158
라파, 46, 155
가가, 79, 179
자하, 65, 186
바자, 82, 156
나타, 97, 180
카사, 57, 174
차하, 40, 185
아자, 73, 140
하라, 97, 173
카아, 89, 158
타마, 47, 190
가바, 82, 194
카자, 81, 161
나바, 61, 190
자하, 73, 153
차가, 61, 175
가사, 65, 184
바자, 57, 165
하타, 80, 145
사차, 84, 141
자사, 75, 169
하바, 99, 152
라차, 65, 175
하다, 75, 185
마하, 46, 194
라하, 69, 145
카나, 44, 190
타타, 59, 171
가사, 79, 154
하사, 64, 148
하가, 78, 194
자자, 45, 165
타아, 59, 160
자마, 67, 191
자바, 53, 190
가하, 92, 188
파사, 51, 144
카자, 44, 185
하하, 74, 181
차마, 51, 174
바타, 62, 159
가라, 85, 167
파바, 64, 194
아파, 94, 177
차라, 53, 155
파라, 99, 176
카타, 91, 190
자다, 69, 183
아바, 43, 174
카마, 91, 154
파마, 58, 180
가사, 97, 166
파사, 76, 163
파다, 68, 141
아차, 79, 147
차사, 57, 176
차자, 91, 191
나마, 66, 144
라타, 63, 142
다라, 52, 188
다다, 47, 188
라다, 66, 144
자차, 63, 188
차카, 76, 163
카파, 88, 184
카라, 86, 161
카다, 69, 146
바사, 45, 160
하바, 63, 148
카다, 73, 145
차가, 46, 156
나나, 53, 171
타타, 45, 188
타나, 41, 165
마다, 68, 193
마가, 70, 145
나마, 98, 149
다나, 58, 162
타나, 76, 186
가차, 71, 168
다파, 57, 152
